,Review,Departments
1657,battery timing not matter half hour got charge axis not using axis not today nd day receive order totally disappointed product ,"Product Quality, Sales"
1658,good normal use,General
1659,stuff hard,General
1660,small neck can not even return ,General
1661,good quality product arrived even earlier given time packing okay ordered medium one little tight wish ordered large size also would better layers went way front well overall good product material also soft,"Product Quality, Shipping, Sales"
1662,purchased new ac inverted minutes gives error display stops working unfair not pay repairs purchased brand new ac extremely disappointed ,"Technical Support, Marketing, Sales"
1663,received parcel one week late packing poor even one packet already feared second time dark disappointed ,Shipping
1664,never told mention much alcohol used sanitizer worst sanitizer ever purchase never recommended recommends minimum ,Sales
1665,receive parcel thank much dark pp like ,Shipping
1666,used apple pencil nd gen bought amazon not work would not son pad pro even charging day however provided aerial number pencil box applecare support confirmed still warranty replaced free ultimately got refurbished pencil apple amazon pre owned discount ,"Customer Service, Sales"
1667,haired pad pro apple pencil design apple pencil elegant love design however extremely difficult write pad pro feel like different regular pen ,Product Quality
1668,quality poor rubber base broken price got cracked days cloth gone separate within days not recommended,"Product Quality, Sales"
1669,poor quality ,Product Quality
1670,behaviour ordered digital star ,Sales
1671,length much short price range,Sales
1672,first not gazing mice can say rib mouse not gazing not side buttons nd not dip button mentioned box anyway loved mouse nd also charming nd easy control stars not buttons ,General
1673,ordered new pencil one delivered used packing open can tell used ,Sales
1674,quality quite basic okay kiss ,Product Quality
1675,received less ordered one works great others charge broken ,"Product Quality, Shipping, Sales"
1676,bad experience not expected ,General
1677,worst experience ever,General
1678,face product much distortion even without sound person can not hear voice due distortion ,Product Quality
1679,quite good not exactly picture darker color ,General
1680,material seems like made cloth ok not best quality,Product Quality
1681,poor product,Product Quality
1682,seems like refurbished outer body debts sides,General
1683,one broken return ,Product Quality
1684,bad quality,Product Quality
1685,bad quality shoes,Product Quality
1686,books good expecting bookmark ,General
1687,ok price not good not whole screen touch screen one point screen used control watch,Sales
1688,late delivery packing worst product faulty connected by continuously gave beeeeeep sound could not record without pp giving clear letter sound first worst experience dark useless returning ,"Product Quality, Shipping, Technical Support"
1689,bit prices liking working fine peter door guess ,Sales
1690,received good condition bottle can use easily spring bit difficult practice compulsory use spring overall recommended seller ,"Product Quality, Shipping"
1691,blue one fine stitching grey shirt order ,Sales
1692,good product nice quality design little bit oversized overall good,Product Quality
1693,want send back ,Shipping
1694,pencil working just great got back christmas sudden stopped working would not connect pad air th gen no clue ,General
1695,hello pathetic experience bought multiple items dark worst experience plastic quality poor seat torn hooks can fixed never recommend ,Product Quality
1696,size small smaller excepted prices can get pieces wall deal us ka size small ha latin vo had price may small size wall a ha not even satisfactory,Sales
1697,product good packing isn ,Product Quality
1698,tried best connect device culture vol vis not tried lot apes also useless device not connect eau bad experience lost money ,Technical Support
1699,quality wise not good otherwise ok ,Product Quality
1700,normal glasses not anti reflection,General
1701,waited like month product delivered ,Product Quality
1702,can output fas overall best ,General
1703,quality product fine given price received bags around cheap,"Product Quality, Shipping, Sales"
1704,really loved dropped amazing nodules perfect draw hanna pouring helena hands got dirty created mess although loved thanks dark seller good experience ,General
1705,wish can give half star pathetic quality ,Product Quality
1706,fine quality can get product market get around delivery charges less way much,"Product Quality, Shipping, Marketing"
1707,okay bought apple pencil nd generation not final sealing honest not realize right away happy see arrive well opened box see black markings came not new looked apple pencil nd generation undoing video couture final packing mine not called amazon file return not happy lady customer service nice lead process decided not get angry another one sent unfortunately story not end got new amazon package morning opened amazon box item not packing either not amused nonetheless pulled plastic slide box outer pocket another surprise pulled plastic could see bottom box not top apple instructions everything like literally box inserted upsidedown unknown person thought well clearly not new product second time getting pen tired waiting not want go up store axis not return faulty item decided take look item thinking clean maybe take ha not work either sent apple pencil st generation feel like natural get bit angry could happy pencil days ago go up axis not upset angry sad ,"Customer Service, Product Quality, Shipping, Technical Support"
1708,not received per add plus not trousers one black two dark blue colours ,Shipping
1709,excited get apple pencil instead received empty box not happy,Shipping
1710,sent wrong colour,General
1711,apple pencil not work advertised would not pair pad pro would not write sent back amazon refused credit card payment form amazon credit ,"Marketing, Sales"
1712,oder door draft good totally face disappointed poor quality,Product Quality
1713,thought self adhesive not,General
1714,remote control small difficult use ,Product Quality
1715,thanks gift quality average overall decent experience ,Product Quality
1716,headphone bad quality actually worst buying gazing ,"Product Quality, Sales"
1717,fine quality delivery bit late ,"Product Quality, Shipping"
1718,good product little cheaper ,Product Quality
1719,extremely pathetic quality ,Product Quality
1720,good quality price would recommend ordered black got white furthermore many scratch mouse self,"Product Quality, Sales"
1721,product local not original ,Product Quality
1722,longevity fragrance ordered dark extremely poor scent would fade away within minutes application making ineffective waste money ,Sales
1723,not good gazing ,General
1724,nice comfortable according price color not black like gray something can also call light black something like ,"Customer Service, Sales"
1725,bad product,Product Quality
1726,long wait days order got delivered na me call ai na mug kiss ka order deliver hogaya me path nail ha parcel dr ha deliver hogaya really bad service waste time,"Customer Service, Shipping, Sales"
1727,delivered timely oil ok,General
1728,gave order two received tss not per order item using first time application said dint use application order not sending good quality item on poor quality item sending please avoid draw pp etc need item buy market request careful ,"Customer Service, Product Quality, Shipping, Marketing, Sales"
1729,nice mention pick price slightly high ,Sales
1730,works wells somehow average,General
1731,horizontal swing not working less air throw not efficient heat cool no free installation offered major cities delivery fast well packed,"Product Quality, Shipping, Technical Support, Sales"
1732,many side effects stir noted teeth damaged gums,Product Quality
1733,stars glowing beautiful one problem can not take picture glowing give four stars ,Technical Support
1734,not last month ,General
1735,quality packing not good like local product ,Product Quality
1736,not tested yet not sure results looks good,General
1737,low quality fragrance light expensive ,Product Quality
1738,no hard wear,General
1739,huge went side egg rays broken ice rays missing,Product Quality
1740,shoes good faults like not properly stitched sole shoe not signed shoe looks good night ,Technical Support
1741,face product really cheap is mouse dip not dip mentioned ad,Product Quality
1742,ordered brown one seller said not available choose another colour bit expensive quality okay delivery super fast ,"Customer Service, Product Quality, Shipping, Sales"
1743,honestly low grade quality pull bar like wasting is got mine recently rd day reforming already go buy new one total loss see reviews not worth invest better pull bar ,"Product Quality, Sales"
1744,good quality however people wear small can fit ,Product Quality
1745,low quality product,Product Quality
1746,good light gave stars little delay remote wiring bit lose ok ,General
1747,packing bandages ordered dark supper boxes damaged crushed upon arrival compromising sterility individual bandages inside proper packing crucial his notes not integrity medical supplies ,"Product Quality, Sales"
1748,normal,General
1749,asylum alaikum delighted alhamdulillah product received per choice ,"Product Quality, Shipping"
1750,silvery late packing not good product good may ,Product Quality
1751,received pus ok not much good grm need higher guns charging market price ,"Shipping, Marketing, Sales"
1752,not comfortable shoes ,General
1753,ordered bath received cricket ball return ordering second time please not blunder axis not ,"Shipping, Sales"
1754,excellent quality super quick delivery downside sent green instead blue colour despite chat mug stressing blue product color ,"Product Quality, Shipping"
1755,also recommend seller sell g box unfordable cost,Sales
1756,tight shoulder wings,General
1757,late delivery high price delivery costs make bad purchase ,"Shipping, Sales"
1758,scrunching us big rest,General
1759,design good not sure quality yet use,Product Quality
1760,apple pencil great pad weeks stop working call apple nothing can get pencil since pencil not connect pad ,Customer Service
1761,product good price bit higher recommend buy office market,"Product Quality, Marketing, Sales"
1762,color slightly different material seems soft great,Product Quality
1763,make little foam not good not recommending ,General
1764,horrible product came without tip pencil basically useless upset amazon sold product condition apparently product good condition comes without needed pieces ,"Customer Service, Product Quality"
1765,bags not good quality ply next time show once bags need way every thing awesome ,Product Quality
1766,good headphone uncomfy gazing long periods,General
1767,bags good zip low quality every single bag problem ,"Product Quality, Technical Support"
1768,ok old apple pen broken months bought new one tip god damaged like months really apple pen tip low quality,Product Quality
1769,sorry seller product no deserve price pressure also low,"Product Quality, Sales"
1770,device not charge wrist belt,Technical Support
1771,requested write name case not note quality not worth price,"Product Quality, Sales"
1772,lasted couple weeks quit working needed replacement,General
1773,disappointed ordered shampoo tea tree oil delivered shampoo broken,"Product Quality, Sales"
1774,happened twice apple kind enough offer rd free not gathered print label drive up caught glimpse broken one his joyful purchase hopes better version ,"Product Quality, Marketing, Sales"
1775,scratches damage speaker remote also not working properly buttons are working,Product Quality
1776,seller lied product function see answer mid not work tried working handsfrees please send adapted works returning product ,"Product Quality, Shipping"
1777,disappointed received used pencil no plastic box box even dirty ordered replacement hopefully better gave stars hoping replacement actually new ,"Shipping, Sales"
1778,not bad not good pick,General
1779,connect drawing writing notes can barely get charge perhaps not purchase brand new wish purchased replacement sadly never came hoping would arrive return window pencil since not return helped came tying clinking simple tasks sadly would skin attempting write notes ended giving tying everything eventually ended getting creative attempting draw ships trying create imagine anyway not great hopefully purchase new pencil dating review,"Customer Service, Marketing, Sales"
1780,item listed like new box like new nd generation apple pencil scratches unidentifiable go dull point would not work pad pro ,Product Quality
1781,handfree cheek ni away low base ni his not to the the bass wall handfree chaheye disappoint,General
1782,seller send right product unfortunately got one broken dark handle parcels care ,"Customer Service, Product Quality, Shipping"
1783,now disappointment product paid front completely tricked confirmed online customer support genius bar appointment no explanation read myriads help articles online see various explanations related users failure keep pen charged times no one ever warned can assure pencil stayed clipped massage charge pad times also never anything else pencil would explain not sudden failure used pencil occasionally work take notes times per week light usage overall working totally normally less week complete devise product pencil job well enough can point anything extraordinary better status not significantly different modern competitors happy pay product resumed would functional reasonable lifetime however many reports early failures days weeks outside warranty value not apple offers credit tricked magic pencil means expect pay another replacement pencil mine failed marginal year completely unacceptable already begun migration away apple failure accelerate efforts not replacing pencil not replace pad dies likelihood not even purchase another phone ,"Customer Service, Product Quality, Sales"
1784,well good product works perfectly mentioned major problem battery back fully charged gives mind back time low reason giving three stars ,"Product Quality, Technical Support"
1785,much small box,General
1786,excellent product color material good although finishing not note good mean not bad can note better considering price good product ,"Product Quality, Sales"
1787,note front one not know pin holes small ,General
1788,not supporting he supports he mi box andros to,Customer Service
1789,seller not recommended sent swimming nose clip instead anti snoring nasal dilatory exact opposite need want returned even packing pale look old ,General
1790,pack seal already open,General
1791,useless without fragrance even not know safe not,General
1792,result bad,General
1793,tube la terrible experience de compare also de apple for amazon vine root sin funcionamiento lo poor lunch compare for qui also de apple major ire directamente la pa gin ,General
1794,actually picture not real watching sent,General
1795,received parcel not working ,"Product Quality, Shipping"
1796,size alarm small would not recommend anyone,General
1797,white out received without legal fragrance light overall not satisfied,Shipping
1798,not work properly light dim,General
1799,product not good dislike ,Product Quality
1800,left god non functional return order not recommended ,Sales
1801,looks like good gift can not check quality good ,Product Quality
1802,everything fine except book binding ,General
1803,non serious attitude dark mall ,General
1804,one ear god not working ,Product Quality
1805,broken box poorly packed mask quality average ,Product Quality
1806,package poor quality rd class plastic lid broken arrived put bowl product good packing cheap quality ,"Product Quality, Shipping"
1807,product received safely packing far good quality product poor first purchase not worth money his charging battery not last even hour call voice quality worse seller want say take price want least dint cheat ok please ,"Customer Service, Product Quality, Shipping, Sales"
1808,disappointing battery timing poor ,General
1809,worst ever brand pathetic low quality equipment absolutely pathetic sale service extremely rude customer support takes days callings getting customer support respond no warranty making lame excuses asking money even warranty bought ac dark never buy axis not ,"Customer Service, Product Quality, Marketing, Sales"
1810,purchased daughter use pad generations computer consultant daughter know set electronic devices trying hour get connect pad via bluetooth daughter called apple first phone call told connect pencil right side pad via magnetic connection let fully charge trying connect pad via bluetooth told charging process pencil pad would connect via bluetooth automatically letting pencil fully charge daughter found still would not connect called apple second time time told apple pencil work pad pro not pad generation even though new model told would return apple pencil order older version apple pencil order work pad nowhere description amazon webster explain not make sure go apple webster find pencil work pad ordering one ,"Customer Service, Technical Support, Sales"
1811,keys not backlit whole point rib keyboard disappointed,General
1812,poor quality not stay intact kept folding walking ,Product Quality
1813,bad quality not good item,Product Quality
1814,pencil year really nice draw pad great thing convenient attach magnetically worked well however one day recently not work pencil stopped paring not charge anymore apple would not replace warranty course apple wanted paid fix well pretty upset dollar paid status died year dealing new one apple support verify though known issue not seem warn people pencil die not charged soon kill pencil battery believe happened mine said not take chance keep charged hopefully helps someone ,"Customer Service, Technical Support, Sales"
1815,tip broke can get broken piece ruined ,Product Quality
1816,job not compatible is well buy arctic my compatible,Sales
1817,delivered good packing material good slight difference size fitting elastic band waist low quality therefore fitting problem hope keep mind change quality elastic,"Product Quality, Technical Support"
1818,hands free good almost hours timing without electricity power bank timing bad mints can used hands free power bank charging,General
1819,not buy light guns seller and defective product,"Product Quality, Sales"
1820,got item broken ,Product Quality
1821,product good service bad pay advance rider make face attempt not deliver order,"Customer Service, Product Quality, Sales"
1822,lower instead ,General
1823,opening cap broken my already wasted,Product Quality
1824,one side lower sound malfunctioning ,"Product Quality, Technical Support"
1825,not nice not buy,Sales
1826,quality isn good given price good,"Product Quality, Sales"
1827,one bottle broke quality good,Product Quality
1828,one side headphone not working ,Product Quality
1829,costly products,"Product Quality, Sales"
1830,nice far not realize needed apple pencil,General
1831,denied low quality item made low gazed metal sheet,Product Quality
1832,okay packing not good right bat cheap despise seller carelessness also no box could damaged also played supposed can see picture amount played rubles not big deal still problem known like product cut fun not clumsy people like product ,"Customer Service, Product Quality, Technical Support, Sales"
1833,normally,General
1834,received product time installation not note far asked changing cuba representative send worker installation hours workers not contracted yet also available an today bus sunday installation still pending when installed review sanctioning well ,"Customer Service, Product Quality, Shipping, Technical Support"
1835,handsfree noise problem voice calling ,"Customer Service, Technical Support"
1836,print not seller mentioned chat not odd looks satisfactory ,General
1837,one packs nearly empty hardly my highly unacceptable ,General
1838,faulty first time switched fused circuit breakers got ,"Product Quality, Technical Support"
1839,good packing delivery thorn late how totally satisfied recommend,Shipping
1840,improve quality pathetic voice quality totally waste money ,Product Quality
1841,late delivery days evening called three times company not yet sent installed wait two days seems need arrange private installed called axis not say not provide installed need arrange secondly spare parts cuba not available would not ordered ,"Customer Service, Shipping, Technical Support, Sales"
1842,poor packing bottle leaned product waste disappointed delivery,"Product Quality, Shipping"
1843,worst experience,General
1844,satisfied quality sound battery using last months reviewed ,Product Quality
1845,said spray harmful skin skin feels spray isn effective not buy total waste money ,"Customer Service, Sales"
1846,now satisfied original product price little bit high anyway thankyou seller,"Product Quality, Sales"
1847,ordered months back recently unvexed find not function must pilot error usually pretty good price apple pencil hand delivered apple engineer explain not operation ,"Technical Support, Sales"
1848,product quality cheap scratches probably secondhand heating feature also not working properly return product,Product Quality
1849,disappointed blue light missing ,General
1850,seems product used scratches need give accurate products customers buy easily without hesitation ,"Product Quality, Sales"
1851,ordered second one broke within week,Sales
1852,expensive according texture not satisfied,General
1853,product used hay low quality ,Product Quality
1854,wire loose mid side returned handfree,General
1855,cheap quality expensive lata hi took gay ,Product Quality
1856,length shorter advertised approve ft instead ft recommend buy rib model one cheaper isn worth ,"Marketing, Sales"
1857,product shown light good stuff used making cheap fragile ,Product Quality
1858,much expensive wasted money,General
1859,cheap quality not worth even free ,Product Quality
1860,item ordered popular brand clearly cheap imitation build quality terrible not function advertised disappointing dark allows fraudulent sellers platform,"Product Quality, Marketing, Sales"
1861,expensive product,Product Quality
1862,order purple color receive pink disappointed pathetic service,"Customer Service, Sales"
1863,poor quality not even close displayed picture ,Product Quality
1864,overall quality product good times automatically turns good product r cost,"Customer Service, Product Quality, Sales"
1865,lower fine random use can not use longer,General
1866,garage,General
1867,product broken days not satisfied,Product Quality
1868,good low quality like price low,"Product Quality, Sales"
1869,ordered honest not know work small beautiful ,Sales
1870,size little bit big good product ,Product Quality
1871,product package excellency can view pictures product quality ok lens quality poor sometimes blinds not good antiglare maybe could replace lens good aniglare lens ,"Product Quality, Shipping"
1872,not good taste companies provide,General
1873,device not working properly apes not responding hence not much satisfied device ,"Product Quality, Technical Support"
1874,loved plus color obviously its log think height shirt little long no offense everything perfect ,General
1875,not good not bad quality normal ,Product Quality
1876,not satisfied plastic tender not good not like think wasted press,General
1877,quality not described,Product Quality
1878,been products no se entreat en la fetch ofrecida,Product Quality
1879,shampoo quality good size small size band large good ,Product Quality
1880,l ordered pair shoes paid also two received pair,"Customer Service, Shipping, Sales"
1881,not good shown pick voice low even mobile,General
1882,sound quality not good base unpleasant fits ears nicely comfortable price range,"Product Quality, Sales"
1883,considering price expect light weight cheap plastic bit rough use would not recommend budget afford better gazing mouse ,Sales
1884,tried expensive cheap hell headphones even tried beats headphones pair headphones beat em budget last longer husband ,General
1885,finishing not good thin layer however according price good ,Sales
1886,poor product ordered red one got faded pinkish one not smells like upper ballot ,"Product Quality, Sales"
1887,broke one day fixing poorest build quality can ever get ,Product Quality
1888,not satisfied uncomfortable,General
1889,quality average good money timely delivered and packing great ,Product Quality
1890,days usage jacket goes shape overall excellent experience material much soft may season,Product Quality
1891,delivery days bit slow received per picture given order packing not bubble wrapping ok quality good per price overall good experience thanks seller product recommended ,"Product Quality, Shipping, Sales"
1892,sticking not good,General
1893,ordered two pieces charged two pieces got one,Sales
1894,time delivery little bit late product perfect condition packing original product thanks dark,"Product Quality, Shipping"
1895,rd class product ,Product Quality
1896,rate one star received apple pencil box today without apple pencil furious ,"Shipping, Sales"
1897,pencil would random stop working even repeated paring pad ,General
1898,not hold charge tried leave charging still must received defective one ,"Product Quality, Shipping"
1899,big size low quality ,Product Quality
1900,delivery little late overall good product,"Product Quality, Shipping"
1901,okay expecting ll bit brighter lights lights not enough alone make needs,General
1902,quality grayish per price ,"Product Quality, Sales"
1903,second generation apple pencil received unopened not unfortunately opened month receipt deadline returns pen face replace one target technical agreed face appearance curtis hotly different one associated product marked amazon buyer beware not cheap prospective customers consider target local electronics store never bought face item target return would lot easier ,"Product Quality, Shipping, Technical Support, Marketing, Sales"
1904,total waste money not even bearable,General
1905,good quality nice feel not get benefit long term,Product Quality
1906,shoes seems like pick quality normal fine price packing also fine received time than ,"Product Quality, Shipping, Sales"
1907,quality ok price higher compare market ,"Product Quality, Marketing, Sales"
1908,look apple equipment given everything sleek slips hands no problems older pad pencil latest ordering th crazy eventually cases near screen lines appear place rendering unable losing hope apple products ,"Product Quality, Technical Support, Sales"
1909,his not quality average value money brush good fraser ok glitter ok half bottle good ,"Product Quality, Sales"
1910,face product not buy ,"Product Quality, Sales"
1911,received open parcel one bottle broken oil spilt box totally unacceptable created ,"Product Quality, Shipping"
1912,pencil stopped working month use not even use pencil every day say demanded much product pencil always connect tip fine not make lines way communication cut pencil draws wants without good results feel disappointed expensive turns not work properly think well buy ,"Customer Service, Product Quality, Sales"
1913,packing looking good although product received late hope see good result ,"Product Quality, Shipping"
1914,worst product anyone could ever ,Product Quality
1915,collect parcel fan finishing also box damage not happy courier service improve thing ,"Customer Service, Shipping"
1916,spray bottle not work used first time worked presses stopped working ,General
1917,lights awesome product actually good price little high think overall product good,"Product Quality, Sales"
1918,box half filled received not looks like serving gram ,Shipping
1919,not better quality ,Product Quality
1920,poor grip ordered expectation get premium quality price bands offering half price think would good option simply not mark grip quality low quality price much higher ,"Product Quality, Sales"
1921,came poor packing think supposed finger rings except finger caps not even stretch wrist band hurts so bad feels like hole thing donna break not suggested not worth price ,Sales
1922,purchased suggested not pair,Sales
1923,no privacy box advertised product simple ulcer product ok smell average not pleasant expire months,"Product Quality, Marketing"
1924,unsatisfied packing poor lost almost go opening parcel chemical product must good quality packing material ,"Product Quality, Shipping"
1925,not even charge batteries can not connect pad ,General
1926,poor quality received broken ,"Product Quality, Shipping"
1927,look like in using not good,General
1928,worst product ever received dark one third class product waste time money secondly,"Product Quality, Shipping"
1929,defect piece use one time can not works,General
1930,face seller sending highlight pallor name blush pallet disappointed ,Shipping
1931,send half different small size smaller send different disappointed ,Shipping
1932,okay apple pencil works would wonderfully accurately added button switch great art programs mostly use pad pro biggest problem tilt function dusted try use brushes procreate art programs compatible brushes tilt function gets stuck gets stuck biggest granulation not respond angle tilt sometimes pressure checked tip apple pencil slightly crooked seems mechanism within apple pencil bent replacing tip isn donna fix definitely not buying refurbished axis not specific expensive accessories one biggest features thing not work turn tilt angle brush settings ,"Technical Support, Sales"
1933,quality good not much,Product Quality
1934,split ac isn cooling room nd day installation situation faulty product also man came install seem inexperienced overall experience bad ac service provided needs changed please look ,"Customer Service, Product Quality, Technical Support"
1935,quality not good not exactly recommended satisfactory ,Product Quality
1936,worst product not buy not fit table tennis table broke tried fit table tennis table,"Product Quality, Sales"
1937,pick good quality material poor,Product Quality
1938,disappointed pencil tip flat no point write not sure family members happy purchase maybe received used one not sure ,"Shipping, Sales"
1939,delivery late ,Shipping
1940,not bad not jaw chin shape good,General
1941,quality good voice also good problem low battery,"Product Quality, Technical Support"
1942,assalamualaikum cloth wardrobe short color ordered blue received wardrobe green color ,"Shipping, Sales"
1943,comfort upper made cold cloth sole made rubber,General
1944,not good shown pick smell not good not use waste money,General
1945,pencil nice nice touch never got try figure full functionality because came pad pro less weeks lost forever attaches magnet side pad means prone getting knocked coming loose happens enough times weeks inevitable would lost battery not strong enough hold reliable develop pp pad sound alarm feet away wire attachment option sorry mr jobs without pencil useless cost cannot replace ,Sales
1946,quality ok received bad packing no tag shirt ,"Product Quality, Shipping"
1947,brand new th gen pad not clear product listing generation apple pencil compatible pad ,"Product Quality, Marketing"
1948,quality isn bad price teenager due small sizes ,"Product Quality, Sales"
1949,damaged can not wear poor quality packing well,Product Quality
1950,good product one light not working,Product Quality
1951,defeated shake,General
1952,good nd described pick order total piece found damage not working,"Product Quality, Sales"
1953,cheat one handfree creaked rounded,General
1954,rotten potatoes received,Shipping
1955,worst quality ever thin scratches returned rejected bad experience,Product Quality
1956,not soft expecting one use much softer cheaper,General
1957,worked great days microphone stopped working nobody able hear call waste money attend meetings daily basis not recommended ,Customer Service
1958,delivery fast oil good temporary use,Shipping
1959,trash sent defeated one,General
1960,airport cheap sound like cheap his not head,General
1961,premium quality product not bad color ok ,Product Quality
1962,seems look picture not like meant say peace received not fresh rough peace ply work policy,Shipping
1963,made cards paper really third class quality wallet even stitching not completed big scar,Product Quality
1964,not good ,General
1965,products battery working poor,Product Quality
1966,written full sleeves sent half sleeves liar fabric cheap,General
1967,quality ok little damage one side shown picture ,Product Quality
1968,received damaged cartoons product luckily safe ,"Product Quality, Shipping"
1969,cheap quality wastage money,Product Quality
1970,bought used like new apple pencil came tons cuffs would keep also arrived without tip would not write connect pad pro disappointed ,Shipping
1971,packing good left airport not working correctly suddenly stop working ,Product Quality
1972,ordered soft towels variations average quality overall good according price,"Product Quality, Sales"
1973,good bit small,General
1974,ok white wire used colours not mixing blue red green make purple colour and white,General
1975,low quality product low quality plastic low quality cover totally face product,Product Quality
1976,please improve packing also no date mentioned warranty card little concerned ,General
1977,received item fresh good condition free shipping benefit order dark no barges noting best price free shipping time save ,"Product Quality, Shipping, Sales"
1978,to lot bags screen sometimes freeze sound sometimes cuts ,General
1979,bottle design fragrance incredibly practical prayer faulty resulting uneven distribution fragrance sometimes would spray much times would barely release product made application frustration wasteful ,"Product Quality, Technical Support"
1980,overall experience dark good deliver items ,Product Quality
1981,happy see product unfortunately delivered late satisfied dark service team resolve delay problem within hours,"Customer Service, Product Quality, Technical Support"
1982,sheet rubber may result advertised still not checked reading marked good understand dimensions not know marking readable mix dough could harmful ,Marketing
1983,not stasfictory cheap product airbud works hardly hour nd one half hour,Product Quality
1984,not working not turning wastage money not buy ,"Product Quality, Sales"
1985,waste money ,General
1986,tested vacuum lower working described,General
1987,canvass stir noted dirty ,General
1988,packing low quality,Product Quality
1989,not work take apple swap new one,General
1990,arrived perfect condition human disappointed face product ,"Product Quality, Shipping"
1991,purchased nd generation apple pencil used like new condition however received product not working not recommended,"Product Quality, Shipping, Sales"
1992,good quality not value much money high prices ,"Product Quality, Sales"
1993, cuts rubber dumbells ,General
1994,remote control not sent disappointing experience service please send remote control ,"Customer Service, Shipping"
1995,quality average wet price ok,"Product Quality, Sales"
1996,using review buy want use pp would not recommend want mobile would not recommend want is packing good build quality good think optimized pp not heavy actually soft his not issues high sound feel like sound less bit underwhelming still overall good product especially range ,"Product Quality, Technical Support, Sales"
1997,never gave free installation service,"Customer Service, Technical Support"
1998,really disappointed,General
1999,sub standard poor quality item price,"Product Quality, Sales"
2000,original hands free perfect sound quality deliver box least bubble wrap avoid damages ,Product Quality
2001,received condition material also not good,"Product Quality, Shipping"
2002,poor quality not satisfied broke day delivered ,Product Quality
2003,mere reading not accurate ,Sales
2004,received flowers not white color also neck not golden,Shipping
2005,product totally rubbish not fine received days lot time sent ,"Product Quality, Shipping"
2006,ordered got god opening damaged two days,"Product Quality, Sales"
2007,give half rating fridge cover god microwave cover so small not know standard size ,Product Quality
2008,received not know result,Shipping
2009,delivered late crack handle damaged top grip etc ,Product Quality
2010,cosmetically speaking speaker good comes sound quality however utterly abysmal also not take sd card described title ,"Customer Service, Product Quality"
2011,single blue mode strip half blue half seagreen customer service also not good massage days ago still not replied not recommend anyone buy strip lights not satisfied product,"Customer Service, Product Quality, Sales"
2012,fully paid new dumbells not new already used shown picture scratches rusty marks metal seller sent new products customers,"Customer Service, Product Quality"
2013,providing negative review pathetic service dark not able resolve issue days no one others ,"Customer Service, Technical Support"
2014,product not good finishing bad light option pressing button not avalaibla not good experience,Product Quality
2015,dress good fabric quality normal ok delivery time this good thing,"Product Quality, Shipping"
2016,product expiring day disappointed,Product Quality
2017,pathetic my is,General
2018,little bit small size looks good thank dark,General
2019,product good closing lid bit damaged front not happy ,Product Quality
2020,material good product useless,Product Quality
2021,poor quality mike slow speakers extra fast ,"Product Quality, Shipping"
2022,late shipping delivery quality good,"Product Quality, Shipping"
2023,good seller rec product fully satisfy behave seller item amazing recommended ,Product Quality
2024,old stock sent old price tag replaced new tag manufacture february delivered time packed well safe ,"Product Quality, Sales"
2025,order reading great reviews received noticed no seal opened apple pencil no seal tip marks use checked back said paid brand new apple pencil currently returning buy new one ,"Customer Service, Shipping, Marketing, Sales"
2026,got damaged can got replacement,Product Quality
2027,talked ordering send specific design skateboard wanted gift son seller agreed received frozen design skateboard seller not responding pathetic customer service cheap tactics not recommended ,"Customer Service, Shipping, Sales"
2028,overall good delivery delay ,Shipping
2029,nice cooperative seller think draw add less delivery charges,Shipping
2030,quality better send one piece however ordered both pieces ,"Product Quality, Shipping, Sales"
2031,recommended product ,Product Quality
2032,can increase price improve quality product useless,"Product Quality, Sales"
2033,ordered black send maroon,"Shipping, Sales"
2034,one god not working charging low works one god mind,Product Quality
2035,get pay not best quality,Product Quality
2036,product not good not satisfy,Product Quality
2037,ordered blue received purple smaller advertised color not available remove list ignorant people,"Shipping, Marketing, Sales"
2038,good quality thing connect is control not working working pp,Product Quality
2039,receive order good amazing material also good thinking magnet no magnetic thanks seller dark,"Product Quality, Sales"
2040,overall good least bubble wrap box no packing,General
2041,never received order,"Shipping, Sales"
2042,alright opened box broke push up g limit said g even can not bear much weight able tolerate weight pretty disappointed possible would like refund ,"Customer Service, Sales"
2043,zero disability cheap plastic overpriced can make better plastic them lab,Sales
2044,totally useless item no backlit not trust buyer,"Product Quality, Sales"
2045,useless not even work properly dark not letting refund ever turn blue light not light ,General
2046,found per order ,Sales
2047,sent less item order,"Product Quality, Sales"
2048,received order everything alright ordered golden colour receive brown colour ,"Shipping, Sales"
2049,great perfect quality fits perfectly works fine packing best multi layer packing product delivered late even late final delivery date ,"Product Quality, Shipping"
2050,good product packing can improved,Product Quality
2051,good quality rate high not unfordable,"Product Quality, Sales"
2052,got product little late sound quality good good bass one best sound quality ,Product Quality
2053,ok not good size small,General
2054,ordered ll size that bigger that fault overall product guilty average price range,"Product Quality, Technical Support, Sales"
2055,th gen pad older apple says nd gen pencil not work pads read hardware older pads isn compatible nd gen pencil old pen still works old cracked pad guess something minus stars changing technologies making buy something already old know know not surprise not disappointed ,"Technical Support, Sales"
